,Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
167,2019-08-13,91.08999633789062,98.41000366210938,90.41000366210938,94.5999984741211,4286200,0,0
168,2019-08-14,92.30000305175781,94.08000183105469,92.12999725341797,93.16999816894531,2455100,0,0
169,2019-08-15,93.72000122070312,94.91999816894531,92.33999633789062,93.13999938964844,1563600,0,0
170,2019-08-16,93.88999938964844,94.55000305175781,93.4000015258789,93.70999908447266,1504700,0,0
171,2019-08-19,95.16999816894531,96.4000015258789,94.63999938964844,96.19999694824219,2303800,0,0
172,2019-08-20,95.80999755859375,95.98999786376953,93.48999786376953,93.62999725341797,1512300,0,0
173,2019-08-21,95.83999633789062,96.2300033569336,94.87999725341797,96.08000183105469,1556700,0,0
174,2019-08-22,96.02999877929688,97.43000030517578,95.94999694824219,97.20999908447266,1355000,0,0
175,2019-08-23,96.91999816894531,98.08999633789062,94.83000183105469,95.16000366210938,2533300,0,0
176,2019-08-26,96.3499984741211,96.58999633789062,94.5199966430664,95.87000274658203,2596000,0,0
177,2019-08-27,96.37000274658203,97.97000122070312,95.87999725341797,96.75,2292700,0,0
178,2019-08-28,96.44999694824219,99.87000274658203,96.27999877929688,99.5999984741211,2971900,0,0
179,2019-08-29,102.5,104.23999786376953,96.68000030517578,97.66999816894531,6131300,0,0
180,2019-08-30,98.25,101.93000030517578,97.91000366210938,101.52999877929688,3975300,0,0
181,2019-09-03,101.19000244140625,102.1500015258789,99.87999725341797,101.98999786376953,2110800,0,0
182,2019-09-04,102.86000061035156,105.18000030517578,102.51000213623047,105.0,2570500,0,0
183,2019-09-05,106.43000030517578,108.29000091552734,106.19000244140625,107.62999725341797,2448500,0,0
184,2019-09-06,107.68000030517578,109.72000122070312,107.16999816894531,109.62000274658203,2531200,0,0
185,2019-09-09,109.87000274658203,110.72000122070312,107.70999908447266,108.9000015258789,2687100,0,0
186,2019-09-10,108.55000305175781,110.0199966430664,106.80999755859375,109.93000030517578,1826200,0,0
187,2019-09-11,111.0199966430664,112.6500015258789,110.41999816894531,111.36000061035156,3242900,0,0
188,2019-09-12,111.83000183105469,112.91000366210938,111.01000213623047,111.94000244140625,1549900,0,0
189,2019-09-13,111.88999938964844,113.12000274658203,111.51000213623047,112.86000061035156,1801600,0,0
190,2019-09-16,112.0999984741211,112.13999938964844,109.51000213623047,109.55999755859375,1746600,0,0
191,2019-09-17,109.73999786376953,111.0999984741211,109.25,111.04000091552734,1220900,0,0
192,2019-09-18,111.36000061035156,112.2699966430664,110.37999725341797,112.26000213623047,1728000,0,0
193,2019-09-19,112.45999908447266,112.91999816894531,111.68000030517578,111.73999786376953,1565100,0,0
194,2019-09-20,111.95999908447266,113.66999816894531,111.04000091552734,111.06999969482422,2548600,0,0
195,2019-09-23,111.0999984741211,113.94000244140625,111.0999984741211,113.41999816894531,1922900,0,0
196,2019-09-24,113.66999816894531,114.51000213623047,111.81999969482422,113.37000274658203,1693000,0,0
197,2019-09-25,113.37000274658203,114.16000366210938,111.8499984741211,112.94999694824219,1346300,0,0
198,2019-09-26,113.51000213623047,113.58000183105469,111.33000183105469,112.45999908447266,1384700,0,0
199,2019-09-27,113.29000091552734,114.41999816894531,112.5999984741211,114.30000305175781,1840200,0,0
200,2019-09-30,114.45999908447266,115.79000091552734,113.86000061035156,114.16000366210938,2011800,0,0
201,2019-10-01,115.08999633789062,115.08999633789062,113.0,113.25,1658100,0,0
202,2019-10-02,112.25,113.37000274658203,111.01000213623047,113.06999969482422,2456400,0,0
203,2019-10-03,112.7699966430664,113.13999938964844,110.6500015258789,112.91999816894531,1934300,0,0
204,2019-10-04,113.20999908447266,116.58999633789062,113.1500015258789,115.7300033569336,2595600,0,0
205,2019-10-07,115.12999725341797,115.66000366210938,111.83000183105469,112.16000366210938,1740900,0,0
206,2019-10-08,111.11000061035156,114.0999984741211,110.80999755859375,112.4800033569336,1731600,0,0
207,2019-10-09,113.16000366210938,114.69000244140625,112.91999816894531,112.98999786376953,1536200,0,0
208,2019-10-10,113.25,114.02999877929688,112.30000305175781,113.91000366210938,1107000,0,0
209,2019-10-11,115.0,116.58999633789062,114.80000305175781,115.19000244140625,2200000,0,0
210,2019-10-14,115.3499984741211,115.9800033569336,114.93000030517578,115.0199966430664,1154000,0,0
211,2019-10-15,115.0,116.62999725341797,115.0,116.51000213623047,1241200,0,0
212,2019-10-16,116.66000366210938,116.98999786376953,115.80000305175781,116.9000015258789,1639300,0,0
213,2019-10-17,117.2699966430664,117.62000274658203,116.70999908447266,117.37000274658203,1106100,0,0
214,2019-10-18,117.19999694824219,118.04000091552734,116.86000061035156,116.9800033569336,1348700,0,0
215,2019-10-21,117.26000213623047,117.51000213623047,115.94999694824219,116.69000244140625,1346200,0,0
216,2019-10-22,117.44999694824219,119.70999908447266,117.44000244140625,118.44000244140625,2008200,0,0
217,2019-10-23,117.86000061035156,118.0999984741211,115.51000213623047,116.62999725341797,1358000,0,0
218,2019-10-24,116.23999786376953,116.73999786376953,115.0,115.5999984741211,1091100,0,0
219,2019-10-25,115.20999908447266,116.19999694824219,114.0199966430664,114.55000305175781,1439200,0,0
220,2019-10-28,114.91999816894531,115.4000015258789,113.37000274658203,113.41999816894531,1695100,0,0
221,2019-10-29,113.7300033569336,114.33999633789062,112.54000091552734,112.58000183105469,1150400,0,0
222,2019-10-30,112.36000061035156,112.66999816894531,110.80000305175781,112.05999755859375,1200900,0,0
223,2019-10-31,111.70999908447266,112.05999755859375,109.25,110.4000015258789,1812500,0,0
224,2019-11-01,111.13999938964844,112.4000015258789,110.66999816894531,111.73999786376953,1290400,0,0
